net_id,arc_id,from_id,to_id,value
2005-03-31,FI-JP,FI,JP,3338
2005-03-31,FI-NL,FI,NL,4534
2005-03-31,FI-TR,FI,TR,21
2005-03-31,FI-TW,FI,TW,28
2005-03-31,FI-US,FI,US,4200
2005-03-31,FR-AU,FR,AU,5028
2005-03-31,FR-BE,FR,BE,73760
2005-03-31,FR-CL,FR,CL,38
2005-03-31,FR-DE,FR,DE,200353
2005-03-31,FR-GB,FR,GB,154725
2005-03-31,FR-GR,FR,GR,1297
2005-03-31,FR-IT,FR,IT,26775
2005-03-31,FR-JP,FR,JP,77578
2005-03-31,FR-NL,FR,NL,105821
2005-03-31,FR-TR,FR,TR,569
2005-03-31,FR-TW,FR,TW,2864
2005-03-31,FR-US,FR,US,39542
2005-03-31,GB-AU,GB,AU,61687
2005-03-31,GB-BE,GB,BE,110986
2005-03-31,GB-CL,GB,CL,86
2005-03-31,GB-DE,GB,DE,724274
2005-03-31,GB-FR,GB,FR,216878
2005-03-31,GB-GR,GB,GR,2673
2005-03-31,GB-IT,GB,IT,31492
2005-03-31,GB-JP,GB,JP,90914
2005-03-31,GB-NL,GB,NL,241884
2005-03-31,GB-TR,GB,TR,985
2005-03-31,GB-TW,GB,TW,2959
2005-03-31,GB-US,GB,US,127393
2005-03-31,GR-AU,GR,AU,54
2005-03-31,GR-BE,GR,BE,12265
2005-03-31,GR-CL,GR,CL,6
2005-03-31,GR-DE,GR,DE,39113
2005-03-31,GR-FR,GR,FR,18931
2005-03-31,GR-GB,GR,GB,9074
2005-03-31,GR-IT,GR,IT,5391
2005-03-31,GR-JP,GR,JP,2829
2005-03-31,GR-NL,GR,NL,15390
2005-03-31,GR-TR,GR,TR,26
2005-03-31,GR-TW,GR,TW,53
2005-03-31,GR-US,GR,US,7945
2005-03-31,IE-AU,IE,AU,558
2005-03-31,IE-BE,IE,BE,22574
